Datum,Von,Bis,Ort,Lektoren,Gruppen,Lehrfach,Anmerkung,StundeVon,StundeBis
23.02.2024,12:00:00,13:45:00,P.HG.EDV2,Franz Knipp,BSWE-2B ,Betriebssysteme,2 AT,5,6
23.02.2024,14:00:00,17:15:00,P.HG.HS2,Elke Szalai,BSWE-2B ,Gesellschaft und Technik,.,7,10
23.02.2024,17:45:00,21:00:00,P.HG.HS2,Patrizia Sailer,BSWE-2B ,Formale Grundlagen und Datenbanken,.,11,14
24.02.2024,08:30:00,12:00:00,P.HG.CON7,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,.,1,4
24.02.2024,13:00:00,16:30:00,P.HG.CON7,Stephen Morley,BSWE-2B2,Kommunikation Englisch II,.,6,9
08.03.2024,14:00:00,15:30:00,V.BSWE.MC,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,.,7,8
08.03.2024,17:45:00,20:15:00,V.BSWE.MC,Franz Knipp,BSWE-2B ,Grundlagen der Netzwerktechnologien,.,11,13
09.03.2024,09:30:00,12:00:00,V.BSWE.MC,Peter Buzanits,BSWE-2B ,Grundlagen der Netzwerktechnologien,.,2,4
09.03.2024,13:00:00,16:30:00,V.BSWE.MC,Patrizia Sailer  Sebastian Saip,BSWE-2B ,Softwaremanagement I,.,6,9
11.03.2024,18:30:00,21:00:00,V.BSWE.MC,Stefan Neuwirth,BSWE-2-FFROPRO,Freifach: Repetitorium Objektorientierte Programmierung,.,12,14
13.03.2024,18:30:00,21:00:00,V.BSWE.MC,Franz Knipp,BSWE-2B ,Softwaremanagement I,.,12,14
20.03.2024,18:30:00,21:00:00,V.BSWE.MC,Sebastian Saip,BSWE-2B ,Softwaremanagement I,.,12,14
22.03.2024,14:00:00,17:15:00,P.HG.CON3,Patrizia Sailer,BSWE-2B ,Formale Grundlagen und Datenbanken,.,7,10
22.03.2024,17:45:00,20:15:00,P.HG.CON8,Franz Knipp,BSWE-2B ,Grundlagen der Netzwerktechnologien,.,11,13
23.03.2024,08:30:00,12:00:00,P.HG.CON7,Barbara-Edith Sach-Lackner,BSWE-2B2,Objektorientierte Programmierung,.,1,4
23.03.2024,13:00:00,16:30:00,P.HG.CON7,Stephen Morley,BSWE-2B2,Kommunikation Englisch II,.,6,9
25.03.2024,18:30:00,21:00:00,V.BSWE.MC,Stefan Neuwirth,BSWE-2-FFROPRO,Freifach: Repetitorium Objektorientierte Programmierung,.,12,14
27.03.2024,18:30:00,21:00:00,V.BSWE.MC,Patrizia Sailer,BSWE-2B ,Formale Grundlagen und Datenbanken,.,12,14
